Symbol,'Market Cap',' Average Volume',' Previous Close',' Open',' Book Value',' Last Trade Price',' 200 Day Moving Average',' 50 Day Moving Average',' Change from 200 Day',' Change from 50 Day',' Earnings Share',' Estimate EPS Next Quarter',' Estimate EPS Next Year',' Next Year EPS Price Estimate',' Current Year Price EPS Estimate',' Day High',' Day Low',' Year High',' Year Low',' PEG Ratio',' PE Ratio',' Short Ratio'
UNM,0.011707,0.011523,0.063224,0.063052,0.291551,0.062488,0.061074,0.062911,0.376435,0.337304,0.660994,0.134337,0.120196,0.004719,0.005893,0.06253,0.063126,0.059652,0.062559,0.007863,0.004322,0.046838
USG,0.005565,0.005273,0.051551,0.051237,0.118807,0.051751,0.050381,0.055193,0.377157,0.318883,0.642651,0.111483,0.101511,0.006006,0.009933,0.051942,0.051543,0.058139,0.049949,0.00151,0.023623,0.131148
VFC,0.041613,0.013039,0.130232,0.130073,0.178661,0.129765,0.123204,0.138128,0.401171,0.311313,0.678715,0.124303,0.112775,0.011438,0.014546,0.130043,0.130652,0.124316,0.112304,0.010519,0.004946,0.042155
EGY,0.000469,0.002416,0.010546,0.010642,0.129949,0.010942,0.012278,0.00995,0.364657,0.332636,0.650221,0.083055,0.067188,0.01282,0.007855,0.011109,0.010722,0.014937,0.008169,0.032077,0.001239,0.11007
VALE,0.053921,0.342025,0.013781,0.014068,0.162413,0.014081,0.018347,0.015031,0.346736,0.323152,0.631811,0.091416,0.078452,0.005087,0.004458,0.014053,0.013888,0.02457,0.013608,0.017322,0.009461,0.138173
VRX,0.0757,0.013121,0.305457,0.311137,0.188419,0.30372,0.24032,0.295634,0.727077,0.438791,0.65925,0.210702,0.204347,0.008814,0.012616,0.308409,0.30701,0.268808,0.21591,0.003697,0.023914,0.04918
VLO,0.039841,0.084757,0.102889,0.10298,0.321519,0.102935,0.089202,0.095952,0.446811,0.385792,0.73181,0.175585,0.14617,0.005142,0.006459,0.10329,0.102905,0.096328,0.086616,0.011404,0.001476,0.056206
VLY,0.003046,0.008579,0.017721,0.017717,0.147793,0.017668,0.017221,0.017851,0.37476,0.328032,0.646801,0.091973,0.077127,0.007516,0.009972,0.017673,0.017817,0.016792,0.017906,0.016195,0.00343,0.215457
VTR,0.030831,0.021072,0.142165,0.141592,0.264594,0.141075,0.124352,0.147195,0.461271,0.325782,0.661008,0.147715,0.12987,0.009026,0.010995,0.141161,0.141509,0.132516,0.118945,0.01734,0.010068,0.084309
PAY,0.005286,0.00843,0.062592,0.0627,0.153888,0.062818,0.06265,0.065936,0.368899,0.323192,0.634609,0.109253,0.09833,0.008079,0.011252,0.063371,0.063029,0.06206,0.057079,0.010102,0.009461,0.058548
VZ,0.278977,0.204152,0.092573,0.092275,0.119641,0.090416,0.087743,0.090547,0.381425,0.345405,0.671943,0.136566,0.119401,0.007053,0.008666,0.091349,0.091917,0.086516,0.091831,0.008904,0.004202,0.058548
V,0.230193,0.018832,0.494399,0.495552,0.355272,0.493397,0.424081,0.496992,0.74512,0.421873,0.760155,0.229097,0.226743,0.01228,0.016399,0.494784,0.497297,0.442524,0.396883,0.007863,0.006198,0.126464
VSH,0.002763,0.000756,0.025175,0.025198,0.171926,0.025217,0.025422,0.025999,0.370138,0.326655,0.64964,0.09922,0.083488,0.006318,0.008293,0.025171,0.025099,0.025791,0.025178,0.004895,0.003552,0.386417
VMW,0.048792,0.011501,0.151756,0.151778,0.201311,0.153044,0.159041,0.153281,0.323458,0.359562,0.666806,0.135452,0.128942,0.009789,0.013009,0.153084,0.151789,0.182894,0.15001,0.006353,0.008441,0.105386
VG,0.001227,0.001846,0.007833,0.007716,0.112117,0.008041,0.00627,0.007894,0.383622,0.327511,0.640408,0.086399,0.071164,0.009327,0.011715,0.008073,0.007724,0.007273,0.006295,0.006874,0.010293,0.074941
VMC,0.014229,0.001213,0.144972,0.145278,0.278931,0.145101,0.115689,0.132615,0.537255,0.424678,0.660088,0.122631,0.109727,0.013672,0.025129,0.144965,0.145707,0.128253,0.110185,0.022495,0.010738,0.086651
